Name,Url,Duration (min),Review_no,Price,Address,Operating_hours,Ratings,Image_url,Area,Category
National Museum of Singapore,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324550-Reviews-National_Museum_of_Singapore-Singapore.html,210,2824,20.91,"93 Stamford Road National Museum of Singapore, Singapore 178897 Singapore","{""Sunday"":[""1000"",""1900""],""Monday"":[""1000"",""1900""],""Tuesday"":[""1000"",""1900""],""Wednesday"":[""1000"",""1900""],""Thursday"":[""1000"",""1900""],""Friday"":[""1000"",""1900""],""Saturday"":[""1000"",""1900""]}",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/45/9d/0f/national-museum-of-singapore.jpg?w=1200&h=-1&s=1,City Hall,Museums
National Gallery Singapore,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d8077179-Reviews-National_Gallery_Singapore-Singapore.html,180,1284,10,"1 St Andrew's Rd, #01 – 01, Singapore 178957","{""Sunday"":[""1000"",""1900""],""Monday"":[""1000"",""1900""],""Tuesday"":[""1000"",""1900""],""Wednesday"":[""1000"",""1900""],""Thursday"":[""1000"",""1900""],""Friday"":[""1000"",""1900""],""Saturday"":[""1000"",""1900""]}",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/0e/02/f2/the-national-gallery.jpg?w=1200&h=-1&s=1,City Hall,Museums
Lee Kong Chian Natural History Museum,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d8015325-Reviews-Lee_Kong_Chian_Natural_History_Museum-Singapore.html,120,144,20,"2 Conservatory Dr, Singapore 117377","{""Sunday"":[""1000"",""1800""],""Monday"":[""1000"",""1800""],""Tuesday"":[""1000"",""1800""],""Wednesday"":[""1000"",""1800""],""Thursday"":[""1000"",""1800""],""Friday"":[""1000"",""1800""],""Saturday"":[""1000"",""1800""]}",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/ea/00/16/caption.jpg?w=1200&h=-1&s=1,Clementi,Museums
Museum of Ice Cream Singapore,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d23543400-Reviews-Museum_Of_Ice_Cream_Singapore-Singapore.html,180,30,48,"100 Loewen Rd, Singapore 248837","{""Sunday"":[""1000"",""2200""],""Monday"":[""1000"",""2200""],""Tuesday"":[""1000"",""2200""],""Wednesday"":[""1000"",""2200""],""Thursday"":[""1000"",""2200""],""Friday"":[""1000"",""2200""],""Saturday"":[""1000"",""2200""]}",4.5,https://www.visitsingapore.com/content/dam/desktop/global/see-do-singapore/arts/museum-of-ice-cream-singapore/sprinkle-pool-940x940.jpg,Tanglin,Museums
Battlebox,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d9859121-Reviews-Battlebox-Singapore.html,180,2541,20,"2 Cox Terrace, Singapore 179622","{""Sunday"":[""0930"",""1730""],""Monday"":[],""Tuesday"":[],""Wednesday"":[],""Thursday"":[],""Friday"":[""0930"",""1730""],""Saturday"":[""0930"",""1730""]}",5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/f7/96/03/battlebox-at-fort-canning.jpg?w=1200&h=-1&s=1,Fort Canning,Museums
Singapore Flyer,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d678639-Reviews-Singapore_Flyer-Singapore.html,180,17339,33,"30 Raffles Ave, Singapore 039803","{""Sunday"":[""1500"",""2200""],""Monday"":[],""Tuesday"":[],""Wednesday"":[],""Thursday"":[""1500"",""2200""],""Friday"":[""1500"",""2200""],""Saturday"":[""1500"",""2200""]}",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/97/54/a5/r65-memories-at-time.jpg?w=1200&h=-1&s=1,Marina Bay,Fun and Games
Science Centre,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d446423-Reviews-Science_Centre_Singapore-Singapore.html,210,771,9.18,"15 Science Centre Rd, Singapore 609081","{""Sunday"":[""1000"",""1300"",""1400"",""1700""],""Monday"":[],""Tuesday"":[""1000"",""1300"",""1400"",""1700""],""Wednesday"":[""1000"",""1300"",""1400"",""1700""],""Thursday"":[""1000"",""1300"",""1400"",""1700""],""Friday"":[""1000"",""1300"",""1400"",""1700""],""Saturday"":[""1000"",""1300"",""1400"",""1700""]}",4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/5a/ab/d9/where-science-comes-alive.jpg?w=1200&h=-1&s=1,Jurong,Fun and Games
IFly,https://www.tripadvisor.com.sg/Attraction_Review-g294264-d2180413-Reviews-IFly_Singapore-Sentosa_Island.html,120,678,79,"43 Siloso Beach Walk, #01-01, iFly, Singapore 099010","{""Sunday"":[""0900"",""2200""],""Monday"":[""1200"",""2100""],""Tuesday"":[""1200"",""2100""],""Wednesday"":[""1200"",""2100""],""Thursday"":[""1200"",""2100""],""Friday"":[""1200"",""2100""],""Saturday"":[""0900"",""2200""]}",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/00/2f/22/ifly-singapore.jpg?w=1200&h=-1&s=1,Sentosa,Fun and Games
Skyline Luge Sentosa,https://www.tripadvisor.com.sg/Attraction_Review-g294264-d1626904-Reviews-Skyline_Luge_Sentosa-Sentosa_Island.html,120,3238,22,"1 Imbiah Rd, 099692","{""Sunday"":[""1100"",""1930""],""Monday"":[""1100"",""1930""],""Tuesday"":[],""Wednesday"":[""1100"",""1930""],""Thursday"":[""1100"",""1930""],""Friday"":[""1100"",""2130""],""Saturday"":[""1100"",""2130""]}",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/f4/bb/6b/sentosa-luge-skyride.jpg?w=1200&h=-1&s=1,Sentosa,Fun and Games
Wild Wild Wet,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d641343-Reviews-Wild_Wild_Wet-Singapore.html,180,432,33.34,"1 Pasir Ris Cl, Singapore 519599","{""Sunday"":[""1200"",""1800""],""Monday"":[""1200"",""1800""],""Tuesday"":[],""Wednesday"":[""1200"",""1800""],""Thursday"":[""1200"",""1800""],""Friday"":[""1200"",""1800""],""Saturday"":[""1200"",""1800""]}",4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/46/dd/90/photo5jpg.jpg?w=1200&h=-1&s=1,Pasir Ris,Fun and Games
SuperPark Singapore,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d15648169-Reviews-SuperPark_Singapore-Singapore.html,210,37,24.9,"#02-477, Suntec City (North Wing, 3 Temasek Blvd, Tower 1, 038983","{""Sunday"":[""0900"",""2100""],""Monday"":[""1030"",""2000""],""Tuesday"":[""1030"",""2000""],""Wednesday"":[""1030"",""2000""],""Thursday"":[""1030"",""2000""],""Friday"":[""1030"",""2000""],""Saturday"":[""0900"",""2100""]}",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/ce/67/f1/the-only-indoor-skate.jpg?w=1200&h=-1&s=1,Promenade,Fun and Games
