Name,Url,Cuisines,Review_no,Price_range,Address,Phone_no.,Operating_hours,Rating,Image_url,Area,Latlng
Entre-Nous creperie,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1193730-Reviews-Entre_Nous_creperie-Singapore.html,"French,European,Healthy",1536,$$,"7 Seah Street # 01-01, Singapore 188383",6563334671,"{""Sunday"":[""1100-1630""],""Monday"":[],""Tuesday"":[""1200-1430"",""1800-2130""],""Wednesday"":[""1200-1430"",""1800-2130""],""Thursday"":[""1200-1430"",""1800-2130""],""Friday"":[""1200-1430"",""1800-2130""],""Saturday"":[""1100-1500"",""1800-2130""]}",5,https://media-cdn.tripadvisor.com/media/photo-s/10/78/cd/f1/entre-nous-creperie.jpg,Raffles Place,"1.29629320863563,103.854675582955"
The Courtyard,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1173583-Reviews-The_Courtyard-Singapore.html,"Japanese,Indian,International",1446,$$$,"1 Fullerton Square Fullerton Hotel The Fullerton Hotel, Singapore 049178",6568778911,"{""Sunday"":[""1130-1800""],""Monday"":[""1130-1800""],""Tuesday"":[""1130-1800""],""Wednesday"":[""1130-1800""],""Thursday"":[""1130-1800""],""Friday"":[""1130-1800""],""Saturday"":[""1130-1800""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-f/0e/ce/74/7a/the-north-courtyard.jpg,Raffles Place,"1.28613061272938,103.853043454038"
Portman's Bar,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d21410047-Reviews-Portman_s_Bar-Singapore.html,"Bar,Cafe,International",260,$$$,"6 Raffles Boulevard Marina Square Level 4 At Parkroyal Collection Marina Bay, Singapore 039594",6568451119,"{""Sunday"":[""1030-0000""],""Monday"":[""1030-0000""],""Tuesday"":[""1030-0000""],""Wednesday"":[""1030-0000""],""Thursday"":[""1030-0000""],""Friday"":[""1030-0000""],""Saturday"":[""1030-0000""]}",5,https://media-cdn.tripadvisor.com/media/photo-s/1c/b8/cd/82/atrium-lounge-sculptural.jpg,Raffles Place,"1.29145526802576,103.857007335679"
Straits Chinese,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8504143-Reviews-Alma_By_Juan_Amador-Singapore.html,"European,Fusion,Vegetarian,Friendly",22,$$$,"8 Raffles Avenue Esplanade Mall #02-21, Esplanade Mall, Singapore 039802",6563393683,"{""Sunday"":[],""Monday"":[""1800-2230""],""Tuesday"":[""1200-1400"",""1800-2230""],""Wednesday"":[""1200-1400"",""1800-2230""],""Thursday"":[""1200-1400"",""1800-2230""],""Friday"":[""1200-1400"",""1800-2230""],""Saturday"":[""1200-1400"",""1800-2230""]}",3.5,https://media-cdn.tripadvisor.com/media/photo-s/19/6c/7a/96/main-dining-hall.jpg,Cecil,"1.28935082986746,103.855901267402"
Coffee Hive,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8747033-Reviews-Coffee_Hive-Singapore.html,Cafe,13,$,"138 Cecil Street #01-02 Cecil Court, Singapore 069538",6594309243,"{""Sunday"":[""1000-2000""],""Monday"":[""1000-2000""],""Tuesday"":[""1000-2000""],""Wednesday"":[""1000-2000""],""Thursday"":[""1000-2000""],""Friday"":[""1000-2000""],""Saturday"":[""1000-2000""]}",4,https://media-cdn.tripadvisor.com/media/photo-f/0f/2f/59/2a/caption.jpg,Cecil,"1.28080521282566,103.848667650702"
Alma By Juan Amador,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5423885-Reviews-Straits_Chinese-Singapore.html,"Chinese,Asian",677,$$,"22 Scotts Road Goodwood Park Hotel Goodwood Park Hotel, Singapore 228221",6567359937,"{""Sunday"":[""1000-2000""],""Monday"":[""1000-2000""],""Tuesday"":[""1000-2000""],""Wednesday"":[""1000-2000""],""Thursday"":[""1000-2000""],""Friday"":[""1000-2000""],""Saturday"":[""1000-2000""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-f/0f/07/8b/e7/alma.jpg,Cecil,"1.30771173944605,103.834556167895"
Ramen Keisuke Tori King,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d4266208-Reviews-Element_at_Amara_Singapore_Hotel-Singapore.html,"Seafood,International,Vegetarian Friendly",303,$$,"100 Tras Street 100 am #03-15 100 Am, Singapore 079027",6566046861,"{""Sunday"":[""1130-2200""],""Monday"":[""1130-2200""],""Tuesday"":[""1130-2200""],""Wednesday"":[""1130-2200""],""Thursday"":[""1130-2200""],""Friday"":[""1130-2200""],""Saturday"":[""1130-2200""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/05/0a/cf/40/ramen-keisuke-tori-king.jpg,Anson,"1.2749347475094,103.843552412915"
Two Men Bagel House,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7229961-Reviews-Two_Men_Bagel_House-Singapore.html,"Quick Bites,American,Cafe",121,$,"No. 16 Enggor Street Altez #01-12, Singapore 079717",6569705033,"{""Sunday"":[""0900-1600""],""Monday"":[""0800-1600""],""Tuesday"":[""0800-1600""],""Wednesday"":[""0800-1600""],""Thursday"":[""0800-1600""],""Friday"":[""0800-1600""],""Saturday"":[""0900-1600""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-p/1d/e0/85/93/an-avocado-to-balance.jpg,Anson,"1.27461794103822,103.844319553688"
Element at Amara Singapore Hotel,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5430605-Reviews-Ramen_Keisuke_Tori_King-Singapore.html,"Japanese,Asian,Soups",105,$$,"165 Tanjong Pagar Road Amara Singapore, Singapore 088539",6568793607,"{""Sunday"":[""0630-2230""],""Monday"":[""0630-2230""],""Tuesday"":[""0630-2230""],""Wednesday"":[""0630-2230""],""Thursday"":[""0630-2230""],""Friday"":[""0630-2230""],""Saturday"":[""0630-2230""]}",4,https://media-cdn.tripadvisor.com/media/photo-l/05/b1/a1/0f/element-buffet.jpg,Anson,"1.27492765838262,103.843549530562"
Kko Kko Na Ra - Tanjong Pagar Main Outlet,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3529932-Reviews-Kko_Kko_Na_Ra_Tanjong_Pagar_Main_Outlet-Singapore.html,"Barbecue,Asian,Korean",91,$$,"68 Tanjong Pagar Road, Singapore 088489",6562248186,"{""Sunday"":[""1000-2000""],""Monday"":[""1000-2000""],""Tuesday"":[""1000-2000""],""Wednesday"":[""1000-2000""],""Thursday"":[""1000-2000""],""Friday"":[""1000-2000""],""Saturday"":[""1000-2000""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/0a/5c/ce/37/kko-kko-na-ra.jpg,Tanjong Pagar,"1.278781666797,103.843752715473"
