Name,Url,Cuisines,Review_no,Price_range,Address,Phone_no.,Operating_hours,Ratings,Image_url,Area
Entre-Nous creperie,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1193730-Reviews-Entre_Nous_creperie-Singapore.html,"French,European,Healthy",1536,$$,"7 Seah Street # 01-01, Singapore 188383 Singapore",6563334671,"{""Sunday"":[""1100-1630""],""Monday"":[],""Tuesday"":[""1200-1430"",""1800-2130""],""Wednesday"":[""1200-1430"",""1800-2130""],""Thursday"":[""1200-1430"",""1800-2130""],""Friday"":[""1200-1430"",""1800-2130""],""Saturday"":[""1100-1500"",""1800-2130""]}",5,https://media-cdn.tripadvisor.com/media/photo-s/10/78/cd/f1/entre-nous-creperie.jpg,Raffles Place
The Courtyard,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1173583-Reviews-The_Courtyard-Singapore.html,"Japanese,Indian,International",1446,$$$,"1 Fullerton Square Fullerton Hotel The Fullerton Hotel, Singapore 049178 Singapore",6568778911,"{""Sunday"":[""1130-1800""],""Monday"":[""1130-1800""],""Tuesday"":[""1130-1800""],""Wednesday"":[""1130-1800""],""Thursday"":[""1130-1800""],""Friday"":[""1130-1800""],""Saturday"":[""1130-1800""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-f/0e/ce/74/7a/the-north-courtyard.jpg,Raffles Place
Portman's Bar,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d21410047-Reviews-Portman_s_Bar-Singapore.html,"Bar,Cafe,International",260,$$$,"6 Raffles Boulevard Marina Square Level 4 At Parkroyal Collection Marina Bay, Singapore 039594 Singapore",6568451119,"{""Sunday"":[""1030-0000""],""Monday"":[""1030-0000""],""Tuesday"":[""1030-0000""],""Wednesday"":[""1030-0000""],""Thursday"":[""1030-0000""],""Friday"":[""1030-0000""],""Saturday"":[""1030-0000""]}",5,https://media-cdn.tripadvisor.com/media/photo-s/1c/b8/cd/82/atrium-lounge-sculptural.jpg,Raffles Place
Straits Chinese,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8504143-Reviews-Alma_By_Juan_Amador-Singapore.html,"European,Fusion,Vegetarian,Friendly",22,$$$,"8 Raffles Avenue Esplanade Mall #02-21, Esplanade Mall, Singapore 039802 Singapore",6563393683,"{""Sunday"":[],""Monday"":[1800-2230],""Tuesday"":[""1200-1400"",""1800-2230""],""Wednesday"":[""1200-1400"",""1800-2230""],""Thursday"":[""1200-1400"",""1800-2230""],""Friday"":[""1200-1400"",""1800-2230""],""Saturday"":[""1200-1400"",""1800-2230""]}",3.5,https://media-cdn.tripadvisor.com/media/photo-s/19/6c/7a/96/main-dining-hall.jpg,Cecil
Coffee Hive,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8747033-Reviews-Coffee_Hive-Singapore.html,Cafe,13,$,"138 Cecil Street #01-02 Cecil Court, Singapore 069538 Singapore",6594309243,"{""Sunday"":[""1000-2000""],""Monday"":[""1000-2000""],""Tuesday"":[""1000-2000""],""Wednesday"":[""1000-2000""],""Thursday"":[""1000-2000""],""Friday"":[""1000-2000""],""Saturday"":[""1000-2000""]}",4,https://media-cdn.tripadvisor.com/media/photo-f/0f/2f/59/2a/caption.jpg,Cecil
Alma By Juan Amador,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5423885-Reviews-Straits_Chinese-Singapore.html,"Chinese,Asian",677,$$,"22 Scotts Road Goodwood Park Hotel Goodwood Park Hotel, Singapore 228221 Singapore",6567359937,"{""Sunday"":[""1000-2000""],""Monday"":[""1000-2000""],""Tuesday"":[""1000-2000""],""Wednesday"":[""1000-2000""],""Thursday"":[""1000-2000""],""Friday"":[""1000-2000""],""Saturday"":[""1000-2000""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-f/0f/07/8b/e7/alma.jpg,Cecil
Ramen Keisuke Tori King,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d4266208-Reviews-Element_at_Amara_Singapore_Hotel-Singapore.html,"Seafood,International,Vegetarian Friendly",303,$$,"100 Tras Street 100 am #03-15 100 Am, Singapore 079027 Singapore",6566046861,"{""Sunday"":[""1130-2200""],""Monday"":[""1130-2200""],""Tuesday"":[""1130-2200""],""Wednesday"":[""1130-2200""],""Thursday"":[""1130-2200""],""Friday"":[""1130-2200""],""Saturday"":[""1130-2200""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/05/0a/cf/40/ramen-keisuke-tori-king.jpg,Anson
Two Men Bagel House,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7229961-Reviews-Two_Men_Bagel_House-Singapore.html,"Quick Bites,American,Cafe",121,$,"No. 16 Enggor Street Altez #01-12, Singapore 079717 Singapore",6569705033,"{""Sunday"":[""0900-1600""],""Monday"":[""0800-1600""],""Tuesday"":[""0800-1600""],""Wednesday"":[""0800-1600""],""Thursday"":[""0800-1600""],""Friday"":[""0800-1600""],""Saturday"":[""0900-1600""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-p/1d/e0/85/93/an-avocado-to-balance.jpg,Anson
Element at Amara Singapore Hotel,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5430605-Reviews-Ramen_Keisuke_Tori_King-Singapore.html,"Japanese,Asian,Soups",105,$$,"165 Tanjong Pagar Road Amara Singapore, Singapore 088539 Singapore",6568793607,"{""Sunday"":[""0630-2230""],""Monday"":[""0630-2230""],""Tuesday"":[""0630-2230""],""Wednesday"":[""0630-2230""],""Thursday"":[""0630-2230""],""Friday"":[""0630-2230""],""Saturday"":[""0630-2230""]}",4,https://media-cdn.tripadvisor.com/media/photo-l/05/b1/a1/0f/element-buffet.jpg,Anson
Kko Kko Na Ra - Tanjong Pagar Main Outlet,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3529932-Reviews-Kko_Kko_Na_Ra_Tanjong_Pagar_Main_Outlet-Singapore.html,"Barbecue,Asian,Korean",91,$$,"68 Tanjong Pagar Road, Singapore 088489 Singapore",6562248186,"{""Sunday"":[""1000-2000""],""Monday"":[""1000-2000""],""Tuesday"":[""1000-2000""],""Wednesday"":[""1000-2000""],""Thursday"":[""1000-2000""],""Friday"":[""1000-2000""],""Saturday"":[""1000-2000""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/0a/5c/ce/37/kko-kko-na-ra.jpg,Tanjong Pagar
Yellow Pot Tanjong Pagar,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d14173307-Reviews-Yellow_Pot_Tanjong_Pagar-Singapore.html,"Chinese,Asian,Vegetarian Friendly",106,$$,"83 Duxton Road Six Senses Duxton Duxton Reserve, Singapore 089540 Singapore",6569141428,"{""Sunday"":[""1200-1430"",""1730-2230""],""Monday"":[""1200-1430"",""1730-2230""],""Tuesday"":[""1200-1430"",""1730-2230""],""Wednesday"":[""1200-1430"",""1730-2230""],""Thursday"":[""1200-1430"",""1730-2230""],""Friday"":[""1200-1430"",""1730-2230""],""Saturday"":[""1200-1430"",""1730-2230""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/1c/88/18/2d/welcome-to-yellow-pot.jpg,Tanjong Pagar
Tanjong Pagar Market And Food Centre,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d968483-Reviews-Tanjong_Pagar_Market_And_Food_Centre-Singapore.html,"Chinese,Asian,Singaporean",84,$,"6 Tanjong Pagar Plaza, Singapore 081006 Singapore",658010278,"{""Sunday"":[""1100-2200""],""Monday"":[""1100-2200""],""Tuesday"":[""1100-2200""],""Wednesday"":[""1100-2200""],""Thursday"":[""1100-2200""],""Friday"":[""1100-2200""],""Saturday"":[""1100-2200""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/1a/42/10/32/spacious.jpg,Tanjong Pagar
ABC Brickworks Market & Food Centre,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7322828-Reviews-ABC_Brickworks_Market_Food_Centre-Singapore.html,"Asian,Vegetarian Friendly",73,$,"6 Jalan Bukit Merah, Singapore 150006 Singapore",,"{""Sunday"":[""0000-2359""],""Monday"":[""0000-2359""],""Tuesday"":[""0000-2359""],""Wednesday"":[""0000-2359""],""Thursday"":[""0000-2359""],""Friday"":[""0000-2359""],""Saturday"":[""0000-2359""]}",4,https://media-cdn.tripadvisor.com/media/photo-p/07/ef/86/f9/value-for-money-power.jpg,Bukit Merah
The Bakery Chef,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7790082-Reviews-The_Bakery_Chef-Singapore.html,"Dessert,Cafe",16,$$,"Blk 161 Bukit Merah Central #01-3711, Singapore 150161 Singapore",6562739211,"{""Sunday"":[""1000-2100""],""Monday"":[""1000-1900""],""Tuesday"":[""1000-1900""],""Wednesday"":[""1000-1900""],""Thursday"":[""1000-1900""],""Friday"":[""1000-1900""],""Saturday"":[""1000-2100""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/0f/bc/cf/8c/photo3jpg.jpg,Bukit Merah
Ru Yi Yuan Vegetarian Food,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8011558-Reviews-Ru_Yi_Yuan_Vegetarian_Food-Singapore.html#REVIEWS,Chinese,10,$,"80 Redhill Lane, Stall 4, Singapore 150080 Singapore",6597124621,"{""Sunday"":[""1000-2100""],""Monday"":[""1000-2100""],""Tuesday"":[""1000-2100""],""Wednesday"":[""1000-2100""],""Thursday"":[""1000-2100""],""Friday"":[""1000-2100""],""Saturday"":[""1000-2100""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/1a/47/7d/eb/prepare-to-wait-for-your.jpg,Bukit Merah
Niggi's The Cheese Prata Shop,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3738568-Reviews-Niggi_s_The_Cheese_Prata_Shop-Singapore.html,"Asian,Halal",28,$,"18 Clementi Road, Singapore 129747 Singapore",6568722577,"{""Sunday"":[""1100-2100""],""Monday"":[""1100-2100""],""Tuesday"":[""1100-2100""],""Wednesday"":[""1100-2100""],""Thursday"":[""1100-2100""],""Friday"":[""1100-2100""],""Saturday"":[""1100-2100""]}",4.5,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d16708408-Reviews-Hammee_s-Singapore.html,Queenstown
Hammee's,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d16708408-Reviews-Hammee_s-Singapore.html,"Quick Bites,American,Fast food",11,$,"31 Commonwealth Crescent Market #02-93, Singapore 149644 Singapore",6598188014,"{""Sunday"":[""1100-1700""],""Monday"":[],""Tuesday"":[""1100-1700""],""Wednesday"":[""1100-1700""],""Thursday"":[""1100-1700""],""Friday"":[""1100-1700""],""Saturday"":[""1100-1700""]}",3.5,https://media-cdn.tripadvisor.com/media/photo-s/03/60/2d/88/niggi-s-the-cheese-prata.jpg,Queenstown
Michael's Bar & Grill,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12481467-Reviews-Michael_s_Bar_Grill-Singapore.html,"Italian,Mexican,American",35,$$,"32 South Buona Vista Road, Singapore 118161 Singapore",6593360610,"{""Sunday"":[""1100-2100""],""Monday"":[""1100-2100""],""Tuesday"":[""1100-2100""],""Wednesday"":[""1100-2100""],""Thursday"":[""1100-2100""],""Friday"":[""1100-2100""],""Saturday"":[""1100-2100""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-p/11/08/7a/89/restaurant-mural.jpg,Queenstown
Lawry's The Prime Rib,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d867247-Reviews-Lawry_s_The_Prime_Rib-Singapore.html,"American,Steakhouse,Gluten Free Options",1551,$$$,"333A Orchard Road Mandarin Gallery #04-01/31 Mandarin Gallery, Singapore 238897 Singapore",6568363333,"{""Sunday"":[""1000-2000""],""Monday"":[""1000-2000""],""Tuesday"":[""1000-2000""],""Wednesday"":[""1000-2000""],""Thursday"":[""1000-2000""],""Friday"":[""1000-2000""],""Saturday"":[""1000-2000""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/0a/a9/6f/f8/lawry-s-main-dining-hall.jpg,Tiong Bahru
Oscar's,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1109005-Reviews-Oscar_s-Singapore.html,"International,Singaporean,Vegetarian Friendly",2063,$$,"2 Temasek Boulevard Conrad Centennial, Lobby Level, Singapore 038982 Singapore",6564327481,"{""Sunday"":[""1000-2000""],""Monday"":[""1000-2000""],""Tuesday"":[""1000-2000""],""Wednesday"":[""1000-2000""],""Thursday"":[""1000-2000""],""Friday"":[""1000-2000""],""Saturday"":[""1000-2000""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/16/f3/bd/01/oscar-s-interior.jpg,Tiong Bahru
Grand Shanghai Restaurant,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1145149-Reviews-Grand_Shanghai_Restaurant-Singapore.html,"Chinese,Asian,Shanghai",638,$$,"390 Havelock Road King's Centre, Singapore 169662 Singapore",6568366866,"{""Sunday"":[""1000-2000""],""Monday"":[""1000-2000""],""Tuesday"":[""1000-2000""],""Wednesday"":[""1000-2000""],""Thursday"":[""1000-2000""],""Friday"":[""1000-2000""],""Saturday"":[""1000-2000""]}",5,https://media-cdn.tripadvisor.com/media/photo-s/19/9f/fe/46/grand-shanghai-main-dining.jpg,Tiong Bahru
Naked Finn,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3958828-Reviews-Naked_Finn-Singapore.html,Seafood,113,$$,"41 Malan Road Gillman Barracks, Singapore 109454 Singapore",6566940807,"{""Sunday"":[],""Monday"":[""1800-2200""],""Tuesday"":[""1800-2200""],""Wednesday"":[""1800-2200""],""Thursday"":[""1800-2200""],""Friday"":[""1800-2000"",""2030-2230""],""Saturday"":[""1800-2000"",""2030-2230""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/0b/25/46/f8/lobster-roll.jpg,Telok Blangah
UNA at The Alkaff Mansion,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d17666128-Reviews-UNA_at_The_Alkaff_Mansion-Singapore.html,"European,Spanish,Grill",72,$$,"10 Telok Blangah Green Alkaff Mansion Level 2, Singapore 109178 Singapore",6581268844,"{""Sunday"":[""1130-1430"",""1800-2230""],""Monday"":[""1800-2230""],""Tuesday"":[""1800-2230""],""Wednesday"":[""1800-2230""],""Thursday"":[""1800-2230""],""Friday"":[""1800-2230""],""Saturday"":[""1130-1430"",""1800-2230""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/1a/45/aa/e3/main-dining-hall.jpg,Telok Blangah
Wildseed Cafe at The Alkaff Mansion,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d17374888-Reviews-Wildseed_Cafe_at_The_Alkaff_Mansion-Singapore.html,"Cafe,Vegetarian Friendly",142,$$,"10 Telok Blangah Green Alkaff Mansion Level 1, Singapore 109178 Singapore",6581268484,"{""Sunday"":[""0800-1600""],""Monday"":[""0800-1600""],""Tuesday"":[""0800-1600""],""Wednesday"":[""0800-1600""],""Thursday"":[""0800-1600""],""Friday"":[""0800-1600""],""Saturday"":[""0800-1600""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/1a/45/f6/1d/garden-conservatory.jpg,Telok Blangah
Brotzeit Vivocity,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d919095-Reviews-Brotzeit_Vivocity-Singapore.html,"GermanBar,European",587,$$,"1 Harbourfront Walk Vivo City VivoCity #01-149/151, Singapore 098585 Singapore",6562728815,"{""Sunday"":[""1100-2230""],""Monday"":[""1100-2230""],""Tuesday"":[""1100-2230""],""Wednesday"":[""1100-2230""],""Thursday"":[""1100-2230""],""Friday"":[""1100-2230""],""Saturday"":[""1100-2230""]}",4,https://media-cdn.tripadvisor.com/media/photo-f/1b/b4/2e/a5/alfresco-seating.jpg,Habourfront
Elemen,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13971720-Reviews-Elemen-Singapore.html,"AsianHealthy,Vegetarian Friendly",22,$$,"1 Maritime Square Harbourfront Centre Harbourfront Centre, Singapore 099253 Singapore",6569049568,"{""Sunday"":[""1100-2200""],""Monday"":[""1100-2200""],""Tuesday"":[""1100-2200""],""Wednesday"":[""1100-2200""],""Thursday"":[""1100-2200""],""Friday"":[""1100-2200""],""Saturday"":[""1100-2200""]}",4,https://media-cdn.tripadvisor.com/media/photo-p/15/6f/cb/c6/photo2jpg.jpg,Habourfront
Fuego Bar & Kitchen Singapore,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d15768506-Reviews-Fuego_Bar_Kitchen_Singapore-Singapore.html,"Mexican,Bar",43,$$,"438 B Alexandra Road #01-01 Alexandra Technopark, Singapore 119968 Singapore",,"{""Sunday"":[],""Monday"":[""0730-2200""],""Tuesday"":[""0730-2200""],""Wednesday"":[""0730-2200""],""Thursday"":[""0730-2200""],""Friday"":[""0730-2200""],""Saturday"":[""1700-2200""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/17/e2/aa/3f/photo1jpg.jpg,Habourfront
