Restaurant name,Restaurants url,Address,bhdlf,Cuisines,xnmdg,bhdlf2,xnmdg3,no. of review,bhpnc,review URL,Review 1,Review food 1,ewmdv_URL5,Review 2,Review food 2,Latlng
The ExciseMan Wine & Whisky Bar,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d15759302-Reviews-The_ExciseMan_Wine_Whisky_Bar-Singapore.html,8 Raffles Avenue Esplanade Mall #02-27 Esplanade Mall|Singapore 039802 Singapore,Closed Now,Italian|French,Italian|French,$$ - $$$,$$ - $$$,14 reviews,Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d15759302-r831948465-The_ExciseMan_Wine_Whisky_Bar-Singapore.html,“Best Bar Experience|with an extensive...”,,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d15759302-r830791368-The_ExciseMan_Wine_Whisky_Bar-Singapore.html,“Frequent patron”,,1.28935082986746|103.855901267402
1. The Courtyard,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1173583-Reviews-The_Courtyard-Singapore.html,1 Fullerton Square Fullerton Hotel The Fullerton Hotel|Singapore 049178 Singapore,Open Now,Japanese|Indian,Open Now,$$$$,Japanese|Indian,"1,436 reviews",Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1173583-r807001816-The_Courtyard-Singapore.html,“Sweet like Pandan Kaya Swiss Roll”,Roll,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1173583-r781505253-The_Courtyard-Singapore.html,“I like ikula roll.”,roll,1.28613061272938|103.853043454038
2. Entre-Nous creperie,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1193730-Reviews-Entre_Nous_creperie-Singapore.html,27 Seah Street # 01-01|Singapore 188383 Singapore,Closed Now,French|European,French|European,$$ - $$$,$$ - $$$,"1,525 reviews",Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1193730-r678474595-Entre_Nous_creperie-Singapore.html,“Birthday Treat”,Birthday Treat,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1193730-r660536857-Entre_Nous_creperie-Singapore.html,“The terrace is simple and quite.”,terrace,1.29629320863563|103.854675582955
3. Portman's Bar,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d21410047-Reviews-Portman_s_Bar-Singapore.html,6 Raffles Boulevard Marina Square Level 4 At Parkroyal Collection Marina Bay|Singapore 039594 Singapore,Open Now,Bar|Cafe,Open Now,$$$$,Bar|Cafe,259 reviews,Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d21410047-r830974150-Portman_s_Bar-Singapore.html,“High Tea at Portman's Bar”,,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d21410047-r830482565-Portman_s_Bar-Singapore.html,“Honey was a delight”,honey,1.29098168416984|103.857647591675
4. Grand Shanghai Restaurant,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1145149-Reviews-Grand_Shanghai_Restaurant-Singapore.html,390 Havelock Road King's Centre|Singapore 169662 Singapore,Closed Now,Chinese|Asian,Chinese|Asian,$$ - $$$,$$ - $$$,636 reviews,Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1145149-r826879076-Grand_Shanghai_Restaurant-Singapore.html,“... amazing|especially the smoked duck.”,duck,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1145149-r813092929-Grand_Shanghai_Restaurant-Singapore.html,“Good service & nice Dim Sum”,Dim Sum,1.28963064680041|103.8356818105
5. Bar-Roque Grill,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d4504877-Reviews-Bar_Roque_Grill-Singapore.html,165 Tanjong Pagar Road #01-00 Amara Singapore|Singapore 088539 Singapore,Closed Now,French|Steakhouse,French|Steakhouse,$$ - $$$,$$ - $$$,691 reviews,Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4504877-r828080020-Bar_Roque_Grill-Singapore.html,“Followed by escargot for the wife|and bone marrow for me.”,escargot,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4504877-r820904294-Bar_Roque_Grill-Singapore.html,“We also ordered escargot|yellow fin tuna and foie gras for starters|prawn l...”,escargot,1.27493474799152|103.843500110324
IstanBlue Meze & Grill,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7312028-Reviews-IstanBlue_Meze_Grill-Singapore.html,17 Baghdad Street|Singapore 199656 Singapore,Open Now,Turkish,Open Now,$$ - $$$,Turkish,124 reviews,,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d7312028-r787312570-IstanBlue_Meze_Grill-Singapore.html,“Good value for money Turkish food”,Turkish food,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d7312028-r774990111-IstanBlue_Meze_Grill-Singapore.html,“Lentil soup is unique|seems like there is tomato added.”,Lentil soup,1.30125563185741|103.859581352013
6. NOX - Dine In The Dark,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d4611806-Reviews-NOX_Dine_In_The_Dark-Singapore.html,83 Club Street|Singapore 199546 Singapore,Closed Now,European|Fusion,European|Fusion,$$$$,$$$$,"2,000 reviews",Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4611806-r832838005-NOX_Dine_In_The_Dark-Singapore.html,“Good experience!”,,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d4611806-r832818000-NOX_Dine_In_The_Dark-Singapore.html,“Anniversary dinner”,,1.30067815239334|103.860108047143
7. Rosso Vino,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d6450770-Reviews-Rosso_Vino-Singapore.html,15 Merbau Road Next Robertson Quay Hotel|Singapore 239032 Singapore,Opens in 8 min,Italian|Pizza,Opens in 8 min,$$ - $$$,Italian|Pizza,"1,750 reviews",Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d6450770-r831129982-Rosso_Vino-Singapore.html,“Great service by Eva|amazing food: burrata pizza is to die for.”,pizza,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d6450770-r830483902-Rosso_Vino-Singapore.html,“Really enjoyed the bruschettas and salad to go along with my main and my fell...”,salad,1.29120352835619|103.842003739459
8. The Mind Cafe,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d2089644-Reviews-The_Mind_Cafe-Singapore.html,60A Prinsep Street|Singapore 188664 Singapore,Open Now,Cafe,Open Now,$$ - $$$,Cafe,370 reviews,Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2089644-r774170958-The_Mind_Cafe-Singapore.html,“... their matcha latte not bad|recomme...”,latte,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d2089644-r760486794-The_Mind_Cafe-Singapore.html,“Must try the popcorn & chamomile tea !”,tea,1.29970279376036|103.849887319583
9. Josephine - French Cuisine & Wine Bar,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d23668869-Reviews-Josephine_French_Cuisine_Wine_Bar-Singapore.html,97 Amoy Street|Singapore 069917 Singapore,Closed Now,French,French,$$ - $$$,$$ - $$$,307 reviews,Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d23668869-r825498774-Josephine_French_Cuisine_Wine_Bar-Singapore.html,“My wife love the escargot.”,escargot,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d23668869-r823528215-Josephine_French_Cuisine_Wine_Bar-Singapore.html,“The escargot and the french soup was fantastic.”,escargot,1.28147208960588|103.847154566873
10. Paulaner Brauhaus Singapore,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1018167-Reviews-Paulaner_Brauhaus_Singapore-Singapore.html,9 Raffles Boulevard Millenia Walk #01-01 Millenia Walk|Singapore 039596 Singapore,Open Now,German|Bar,Open Now,$$ - $$$,German|Bar,"1,012 reviews",Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1018167-r780442938-Paulaner_Brauhaus_Singapore-Singapore.html,“complement the good service of Ms Idah”,Ms,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1018167-r780898418-Paulaner_Brauhaus_Singapore-Singapore.html,“Loved the sauerkraut pairing as it was...”,pairing,1.29296504146626|103.859343968909
L'eclair Patisserie,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d17705094-Reviews-L_eclair_Patisserie-Singapore.html,78 Airport Boulevard 01-235 Jewel Changi Airport|Singapore 819666 Singapore,Open Now,French|Asian,Open Now,$$ - $$$,French|Asian,6 reviews,Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d17705094-r777411546-L_eclair_Patisserie-Singapore.html,“Unique éclairs for thé family”,,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d17705094-r775831683-L_eclair_Patisserie-Singapore.html,“A TRUE PATISSERIE indeed..!!!”,,1.36023106736765|103.989457201894
11. Jade,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d865172-Reviews-Jade-Singapore.html,1 Fullerton Square Fullerton Hotel The Fullerton Hotel|Singapore 049178 Singapore,Closes in 8 min,Chinese|Asian,Chinese|Asian,$$$$,$$$$,"1,036 reviews",Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d865172-r817516583-Jade-Singapore.html,“We had lobster noodles|miso fish|appetiser trio which were all excellent!”,lobster,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d865172-r816499401-Jade-Singapore.html,“Food was yummy - liked the lobster noodles|truffle xo fried rice and the bra...”,lobster,1.28613061272938|103.853043454038
12. Positano Risto,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13152787-Reviews-Positano_Risto-Singapore.html,66 Bussorah Street|Singapore 199479 Singapore,Open Now,Italian|Pizza,Open Now,$$ - $$$,Italian|Pizza,"1,718 reviews",Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d13152787-r814435396-Positano_Risto-Singapore.html,“... Chris & his team..Gotta have our fave Fettuccine Carbonara and Lava stack!”,Carbonara,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d13152787-r796777829-Positano_Risto-Singapore.html,“We tried the carbonara|truffle mushroom risotto and the lava cake and we rea...”,carbonara,1.30102082822493|103.859804194362
13. Hua Ting Restaurant,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d794020-Reviews-Hua_Ting_Restaurant-Singapore.html,442 Orchard Road Orchard Hotel Singapore Level 2 Orchard Hotel Singapore|Singapore 238879 Singapore,Closed Now,Chinese|Asian,Chinese|Asian,$$$$,$$$$,673 reviews,Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d794020-r817400176-Hua_Ting_Restaurant-Singapore.html,“Fois gras|roast duck|fish maw soup and fish dumpling to name a few.”,roast duck,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d794020-r816057455-Hua_Ting_Restaurant-Singapore.html,“Excellent Dim Sum and impeccable”,Dim Sum,1.30766860940267|103.828164396352
14. Fat Belly Social Steakhouse,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d23285708-Reviews-Fat_Belly_Social_Steakhouse-Singapore.html,21A Boon Tat Street|Singapore 069620 Singapore,Open Now,Steakhouse,Open Now,$$$$,Steakhouse,98 reviews,,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d23285708-r826205712-Fat_Belly_Social_Steakhouse-Singapore.html,“... from the berries|with bits of meringue mixed in for added texture|and t...”,meringue,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d23285708-r813247618-Fat_Belly_Social_Steakhouse-Singapore.html,“The whipped cream|meringue|and the pineapple blended ice formed amazing lay...”,meringue,1.28137023537776|103.848515167851
15. Fu Lin Men (NSRCC),https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d17171783-Reviews-Fu_Lin_Men_NSRCC-Singapore.html,10 Changi Coast Walk Level 1 National Service Resort & Country Club|Singapore 499739 Singapore,Closes in 8 min,Chinese|Seafood,Chinese|Seafood,$,$,185 reviews,Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d17171783-r831323582-Fu_Lin_Men_NSRCC-Singapore.html,“Birthday Bash for a friend”,,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d17171783-r830796596-Fu_Lin_Men_NSRCC-Singapore.html,“Great & Fresh Seafood|Great customer...”,,1.32019924927331|103.969615863691
Shang Palace,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d797464-Reviews-Shang_Palace-Singapore.html,22 Orange Grove Road Shangri-La Hotel Tower Wing|Lobby Level|Singapore 258350 Singapore,Closed Now,Chinese|Asian,Chinese|Asian,$$$$,$$$$,506 reviews,Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d797464-r830489877-Shang_Palace-Singapore.html,“... ambiance Excellent service Peking duck|bird nest soup|… and many other ...”,Peking duck,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d797464-r820003279-Shang_Palace-Singapore.html,“The lobster broth rice|goose and the cod fish with egg white were our favori...”,lobster,1.3112474084414|103.826756760766
16. Song Garden,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12310362-Reviews-Song_Garden-Singapore.html,122 Middle Road Mercure Singapore Bugis Level 2|Singapore 188973 Singapore,Open Now,Chinese|Asian,Open Now,$$$$,Chinese|Asian,270 reviews,Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d12310362-r804375075-Song_Garden-Singapore.html,“The Dim sum and Peking duck were delightful!”,Peking duck,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d12310362-r771565526-Song_Garden-Singapore.html,“Ordered other dishes like angus beef|prawns|scallops.”,scallops,1.29963654752349|103.853083048987
17. Whitegrass,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10005598-Reviews-Whitegrass-Singapore.html,30 Victoria Street #01-26 Chijmes|Singapore 187996 Singapore,Closed Now,French|Fusion,French|Fusion,$$$$,$$$$,408 reviews,Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d10005598-r816044758-Whitegrass-Singapore.html,“... this all night|he loved the focaccia and brioche|the chef’s attention t...”,focaccia,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d10005598-r797089543-Whitegrass-Singapore.html,“... fine desserts|cherry tartelette and dragon fruit salad with yogurt espuma.”,salad,1.29559445902598|103.852159961756
